country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,source_system,source_agency,source_url,collected_at_utc,quality_flag,regulatory_use,historical_limit
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26-08-2026 23:00:00,26.181742,91.78063,PM2.5,23,63,38,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-08-2026 23:00:00,26.446912,91.439057,PM10,16,46,23,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-08-2026 23:00:00,26.446912,91.439057,SO2,8,8,8,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",26-08-2026 23:00:00,30.719859,76.738637,PM2.5,3,38,19,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",26-08-2026 23:00:00,30.719859,76.738637,PM10,14,50,29,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",26-08-2026 23:00:00,30.719859,76.738637,SO2,1,5,3,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",26-08-2026 23:00:00,21.185571,81.343175,CO,20,28,25,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",26-08-2026 23:00:00,21.224231,81.40835,PM2.5,20,37,28,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",26-08-2026 23:00:00,22.118125,83.140608,SO2,4,9,7,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",26-08-2026 23:00:00,22.368195,82.746431,PM10,8,28,17,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
