area_id,area_name,state,district_or_city,area_type,area_latitude,area_longitude,station_id,station_name,station_latitude,station_longitude,distance_metres,sensor_id,pollutant_code,parameter_id,source_unit,sensor_first_utc,sensor_last_utc,source_system,source_url,regulatory_use,evidence_tier
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,12235607,no2,15,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,382,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,12235608,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,380,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,12235609,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,381,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,384,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,12235610,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,12235612,so2,101,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,383,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,2388.08421717,386,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,2388.08421717,389,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,2388.08421717,390,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,2388.08421717,391,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,2388.08421717,388,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,2388.08421717,387,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,431,"IHBAS, Delhi - CPCB",28.6821,77.305,12050.84667153,5361,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,431,"IHBAS, Delhi - CPCB",28.6821,77.305,12050.84667153,747,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,431,"IHBAS, Delhi - CPCB",28.6821,77.305,12050.84667153,13868,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,431,"IHBAS, Delhi - CPCB",28.6821,77.305,12050.84667153,13867,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2503,"Shadipur, Delhi - CPCB",28.651699999999998,77.1581,6505.53340072,4851,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2503,"Shadipur, Delhi - CPCB",28.651699999999998,77.1581,6505.53340072,4852,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2503,"Shadipur, Delhi - CPCB",28.651699999999998,77.1581,6505.53340072,4853,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2503,"Shadipur, Delhi - CPCB",28.651699999999998,77.1581,6505.53340072,13860,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2503,"Shadipur, Delhi - CPCB",28.651699999999998,77.1581,6505.53340072,13859,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2587,"Sector16A, Faridabad - HSPCB",28.410122219999998,77.313775,24804.19680371,5347,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2587,"Sector16A, Faridabad - HSPCB",28.410122219999998,77.313775,24804.19680371,5341,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2587,"Sector16A, Faridabad - HSPCB",28.410122219999998,77.313775,24804.19680371,5344,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2587,"Sector16A, Faridabad - HSPCB",28.410122219999998,77.313775,24804.19680371,40563,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2587,"Sector16A, Faridabad - HSPCB",28.410122219999998,77.313775,24804.19680371,13900,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2587,"Sector16A, Faridabad - HSPCB",28.410122219999998,77.313775,24804.19680371,13901,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,2597,US Diplomatic Post: New Delhi,28.598096,77.189066,2620.89974253,5398,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,5404,"Pusa, Delhi - IMD",28.639645,77.146263,6765.93018927,14086,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
